beer_style,aroma mean,aroma median,aroma std,aroma max,appearance mean,appearance median,appearance std,appearance max,combo mean,combo median,combo std,combo max,num beers,mean abv
American Double / Imperial Stout,4.16060438693,4.0,0.570493858477,5.0,4.16356320025,4.0,0.515691902924,5.0,4.16208379359,4.25,0.446933033424,5.0,50696,10.6055300477
Russian Imperial Stout,4.07657058389,4.0,0.542297840019,5.0,4.21007021434,4.0,0.508618813364,5.0,4.14332039911,4.25,0.434801744307,5.0,54120,9.98684243037
Quadrupel (Quad),4.13249281132,4.0,0.544133992613,5.0,4.11792191993,4.0,0.514125069362,5.0,4.12520736563,4.25,0.448638728424,5.0,18084,10.4614932278
American Double / Imperial IPA,4.09777449452,4.0,0.568201845014,5.0,4.0788815468,4.0,0.46920095489,5.0,4.08832802066,4.0,0.430181504643,5.0,85958,9.37020692086
Gueuze,4.11769602131,4.0,0.56012000298,5.0,4.03487597803,4.0,0.500073834476,5.0,4.07628599967,4.25,0.450926718219,5.0,6007,5.59843934537
American Wild Ale,4.12675620996,4.0,0.565143268941,5.0,4.00545127571,4.0,0.501611589608,5.0,4.06610374283,4.0,0.442322300739,5.0,17794,7.71363377946
Eisbock,4.15677806985,4.0,0.528949725504,5.0,3.96451370635,4.0,0.496757534974,5.0,4.0606458881,4.0,0.412954978269,5.0,2663,11.3928522856
American Barleywine,4.01934807829,4.0,0.524654043539,5.0,4.03637588414,4.0,0.478667008278,5.0,4.02786198121,4.0,0.408576960983,5.0,26721,10.7036764762
Belgian IPA,3.97966631908,4.0,0.511232362187,5.0,4.0751985241,4.0,0.48100876869,5.0,4.02743242159,4.0,0.402155881201,5.0,12467,8.34908570962
Weizenbock,4.04467700807,4.0,0.519256569312,5.0,4.00929664258,4.0,0.510222411638,5.0,4.02698682533,4.0,0.427077400952,5.0,9412,8.13548156956
Flanders Red Ale,4.04404261705,4.0,0.570528307963,5.0,4.00180072029,4.0,0.478014050307,5.0,4.02292166867,4.0,0.432188517976,5.0,6664,6.0881898522
American Black Ale,3.93045605452,4.0,0.526463760212,5.0,4.11292154464,4.0,0.454750076925,5.0,4.02168879958,4.0,0.400679660182,5.0,11446,7.97398118279
Lambic - Unblended,4.11804308797,4.0,0.528374861768,5.0,3.91247755835,4.0,0.514582116539,5.0,4.01526032316,4.0,0.445719961828,5.0,1114,5.29991337825
American Strong Ale,3.97949151481,4.0,0.591888869572,5.0,4.02666103075,4.0,0.529702894235,5.0,4.00307627278,4.0,0.46805572098,5.0,31938,9.76773205742
Baltic Porter,3.94648569205,4.0,0.536403848794,5.0,4.03946572145,4.0,0.487322764987,5.0,3.99297570675,4.0,0.419806899626,5.0,11567,8.24765715286
Belgian Strong Dark Ale,3.97233044446,4.0,0.543925639787,5.0,4.00832206939,4.0,0.506121731145,5.0,3.99032625692,4.0,0.433470578258,5.0,37731,9.43158595125
Old Ale,4.00727841643,4.0,0.556270453079,5.0,3.94204475886,4.0,0.514624368297,5.0,3.97466158765,4.0,0.435162526632,5.0,14701,9.51885987875
Lambic - Fruit,3.97588600658,4.0,0.634750346763,5.0,3.96501644136,4.0,0.564275631182,5.0,3.97045122397,4.0,0.508845747539,5.0,10948,4.98880285826
Saison / Farmhouse Ale,3.93193010326,4.0,0.54098732772,5.0,3.99747418586,4.0,0.516889221927,5.0,3.96470214456,4.0,0.440195561088,5.0,31475,7.0216015153
Dubbel,3.90042044146,4.0,0.576474091378,5.0,3.99987486861,4.0,0.521499417224,5.0,3.95014765504,4.0,0.463178789747,5.0,19979,7.56648325605
Rye Beer,3.89400671406,4.0,0.566585978412,5.0,4.00153041074,4.0,0.522877081394,5.0,3.9477685624,4.0,0.466500957164,5.0,10128,6.72327557585
American Double / Imperial Pilsner,3.87081339713,4.0,0.540519244529,5.0,4.00956937799,4.0,0.487465260641,5.0,3.94019138756,4.0,0.423883685881,5.0,5434,8.19394253939
English Barleywine,3.97141296431,4.0,0.58385478912,5.0,3.90863073562,4.0,0.504811668866,5.0,3.94002184996,4.0,0.449198912519,5.0,13730,10.9180608676
Wheatwine,3.9690360797,4.0,0.536680189641,5.0,3.9071082391,4.0,0.478307327921,5.0,3.9380721594,4.0,0.418122848026,5.0,3714,10.6625347415
Belgian Strong Pale Ale,3.91186559106,4.0,0.556778632933,5.0,3.96130026043,4.0,0.556726359244,5.0,3.93658292574,4.0,0.468803987017,5.0,31486,8.66321872107
Foreign / Export Stout,3.82883713137,4.0,0.55792463144,5.0,4.03920911528,4.0,0.527892221249,5.0,3.93402312332,4.0,0.452324703957,5.0,5968,7.6832760989
American Stout,3.88432379555,4.0,0.584369251689,5.0,3.98359419581,4.0,0.522031104717,5.0,3.93395899568,4.0,0.46069183745,5.0,24534,6.2836413909
Tripel,3.91396484053,4.0,0.546424104776,5.0,3.95295029519,4.0,0.549202973828,5.0,3.93345756786,4.0,0.463196268484,5.0,30319,8.91576357145
Oatmeal Stout,3.85308710033,4.0,0.544430228584,5.0,4.01229327453,4.0,0.52474774535,5.0,3.93269018743,4.0,0.44502875602,5.0,18140,5.80005096362
American IPA,3.89409107921,4.0,0.589018512187,5.0,3.9685075871,4.0,0.495993880161,5.0,3.93129933315,4.0,0.45526791457,5.0,117568,6.63504860976
Flanders Oud Bruin,3.93743743744,4.0,0.602474406371,5.0,3.8997997998,4.0,0.497410152884,5.0,3.91861861862,4.0,0.45591460104,5.0,4995,7.38819331158
Rauchbier,3.94674406865,4.0,0.644684438597,5.0,3.86875315497,4.0,0.496453374639,5.0,3.90774861181,4.0,0.476447850566,5.0,3962,5.73273113709
American Porter,3.83643730311,4.0,0.581785156953,5.0,3.95739306164,4.0,0.507250953923,5.0,3.89691518237,4.0,0.457222093294,5.0,50473,6.24461637404
Milk / Sweet Stout,3.83271304876,4.0,0.572459495423,5.0,3.960922072,4.0,0.538149225013,5.0,3.89681756038,4.0,0.457826538183,5.0,13166,5.7924549996
Bière de Champagne / Bière Brut,3.73470363289,4.0,0.704483426156,5.0,4.04588910134,4.0,0.611920909246,5.0,3.89029636711,4.0,0.562248568475,5.0,1046,10.6228626321
English Porter,3.84157885337,4.0,0.560444911063,5.0,3.93547954992,4.0,0.508447350391,5.0,3.88852920164,4.0,0.445452153797,5.0,11198,5.69183094739
Scotch Ale / Wee Heavy,3.87512902856,4.0,0.553308538626,5.0,3.89376648698,4.0,0.484842357897,5.0,3.88444775777,4.0,0.423706261639,5.0,17438,8.16913317337
Doppelbock,3.85853883383,4.0,0.577391079911,5.0,3.90972574326,4.0,0.52548440112,5.0,3.88413228855,4.0,0.463977329918,5.0,21695,8.28652027027
Bière de Garde,3.81847228414,4.0,0.560081356504,5.0,3.90526081141,4.0,0.522509631484,5.0,3.86186654778,4.0,0.451514322844,5.0,6729,7.29619262603
Gose,3.78352769679,4.0,0.508473977076,5.0,3.90816326531,4.0,0.415422194379,5.0,3.84584548105,4.0,0.373893812985,4.75,686,4.68837920489
American Brown Ale,3.78328259064,4.0,0.572524736682,5.0,3.88748962081,4.0,0.489958549099,5.0,3.83538610573,3.75,0.440267932401,5.0,25291,6.57038125233
Smoked Beer,3.83869346734,4.0,0.576889860982,5.0,3.82194304858,4.0,0.509169515929,5.0,3.83031825796,4.0,0.441654896352,5.0,2985,7.04901060071
Roggenbier,3.8347639485,4.0,0.463221129837,5.0,3.82403433476,4.0,0.531928557436,5.0,3.82939914163,4.0,0.418489942222,4.75,466,5.62313924051
Belgian Pale Ale,3.74351421189,4.0,0.601716884537,5.0,3.87175710594,4.0,0.564099679045,5.0,3.80763565891,3.75,0.500911842655,5.0,19350,6.12590933136
Dunkelweizen,3.73999438281,4.0,0.585084935707,5.0,3.87241960399,4.0,0.539238853164,5.0,3.8062069934,3.75,0.471492915053,5.0,7121,5.45203324429
English Strong Ale,3.74968723937,4.0,0.562329715782,5.0,3.852793995,4.0,0.531504359673,5.0,3.80124061718,3.75,0.460390440078,5.0,4796,7.33402994517
Hefeweizen,3.7617648113,4.0,0.612882919605,5.0,3.82835740654,4.0,0.600716526159,5.0,3.79506110892,3.75,0.527858642314,5.0,27901,5.25934264331
Irish Dry Stout,3.5501111817,3.5,0.636179217556,5.0,4.03557814485,4.0,0.579756794424,5.0,3.79284466328,3.75,0.486791242665,5.0,12592,4.88896440404
Belgian Dark Ale,3.68698378709,3.5,0.562814655627,5.0,3.88964515142,4.0,0.514309388078,5.0,3.78831446926,3.75,0.443780162941,5.0,6538,6.29745940783
Winter Warmer,3.7070584818,4.0,0.596646436667,5.0,3.84462141751,4.0,0.508749990058,5.0,3.77583994965,3.75,0.461276864813,5.0,20656,6.58539796888
English Stout,3.65059642147,3.5,0.575088852336,5.0,3.88419483101,4.0,0.562994295305,5.0,3.76739562624,3.75,0.474214711059,5.0,3018,5.24738037024
Braggot,3.75961538462,4.0,0.570280857265,5.0,3.76826923077,4.0,0.493121975371,5.0,3.76394230769,3.75,0.437556911231,5.0,1040,9.43952615992
Keller Bier / Zwickel Bier,3.68004631416,3.5,0.538394006247,5.0,3.84195291393,4.0,0.519143085987,5.0,3.76099961405,3.75,0.44049880072,5.0,2591,5.19368334701
Schwarzbier,3.61798839458,3.5,0.562817497959,5.0,3.87066069429,4.0,0.500348525658,5.0,3.74432454444,3.75,0.442403596397,5.0,9823,5.16689691817
Sahti,3.82799245994,4.0,0.635697970248,5.0,3.65598491989,4.0,0.575796819313,5.0,3.74198868992,3.75,0.507427756606,5.0,1061,8.53824701195
Extra Special / Strong Bitter (ESB),3.64067767058,3.5,0.551779225567,5.0,3.83337207951,4.0,0.498896064206,5.0,3.73702487504,3.75,0.439357394699,5.0,17206,5.76810381094
American Pale Ale (APA),3.65777655216,3.5,0.612596108548,5.0,3.78165773716,4.0,0.5244032913,5.0,3.71971714466,3.75,0.486937041602,5.0,63460,5.46978233917
American Amber / Red Ale,3.62724092698,3.5,0.622277103803,5.0,3.81019895059,4.0,0.54300792743,5.0,3.71871993878,3.75,0.500850487943,5.0,45740,6.03197023795
Faro,3.67927631579,4.0,0.617507987501,5.0,3.75575657895,4.0,0.497903102152,5.0,3.71751644737,3.75,0.469490855768,4.75,608,4.67796052632
Altbier,3.62427297402,3.5,0.582154639895,5.0,3.80968075481,4.0,0.514651531119,5.0,3.71697686442,3.75,0.461315364103,5.0,7737,5.82896800111
Pumpkin Ale,3.75437355287,4.0,0.697879825804,5.0,3.67532801647,4.0,0.585576063695,5.0,3.71485078467,3.75,0.547843850384,5.0,15548,6.59104502688
Scottish Ale,3.61135442899,3.5,0.571799740891,5.0,3.80636154604,4.0,0.503905073895,5.0,3.70885798752,3.75,0.444598598512,5.0,9133,5.73126978544
Maibock / Helles Bock,3.62047511312,3.5,0.547329349601,5.0,3.780260181,4.0,0.511468039265,5.0,3.70036764706,3.75,0.444620333637,5.0,10608,6.84486966825
Scottish Gruit / Ancient Herbed Ale,3.74136677572,4.0,0.565760135786,5.0,3.64703744093,3.5,0.518309614435,5.0,3.69420210832,3.75,0.441664217839,5.0,2751,5.8576218395
Berliner Weissbier,3.66940126655,4.0,0.615463782773,5.0,3.69300518135,4.0,0.571755805225,5.0,3.68120322395,3.75,0.507128161534,5.0,3474,4.22267423526
Witbier,3.64088480303,3.5,0.615364835056,5.0,3.68675118649,4.0,0.579396525999,5.0,3.66381799476,3.75,0.511432341004,5.0,30131,5.47750366441
English India Pale Ale (IPA),3.56653086807,3.5,0.628031196977,5.0,3.76098401755,4.0,0.53977222264,5.0,3.66375744281,3.75,0.493228894598,5.0,15955,6.13206428897
California Common / Steam Beer,3.52638097597,3.5,0.559834240754,5.0,3.77557592271,4.0,0.508152512257,5.0,3.65097844934,3.75,0.447048362746,5.0,4037,5.28951845067
English Dark Mild Ale,3.53653264159,3.5,0.580524086012,5.0,3.74837872892,4.0,0.525128267505,5.0,3.64245568526,3.75,0.4686014363,5.0,2313,4.06427830189
English Brown Ale,3.54936501434,3.5,0.58081744807,5.0,3.73374129455,4.0,0.520159373266,5.0,3.64155315444,3.75,0.46134016898,5.0,19528,5.24436520289
English Bitter,3.5180523918,3.5,0.60155934136,5.0,3.7465261959,4.0,0.528829854306,5.0,3.63228929385,3.75,0.475743910632,5.0,8780,4.32204279225
Märzen / Oktoberfest,3.50474044471,3.5,0.573701633816,5.0,3.71995238298,4.0,0.528817765421,5.0,3.61234641384,3.75,0.466882600131,5.0,23521,5.86631872951
Irish Red Ale,3.42497143583,3.5,0.590862592462,5.0,3.76386949346,4.0,0.531068431804,5.0,3.59442046464,3.75,0.463509379159,5.0,7877,5.26702377699
Herbed / Spiced Beer,3.5725205612,3.5,0.704460328548,5.0,3.60048379294,3.5,0.61419861932,5.0,3.58650217707,3.75,0.566682021097,5.0,10335,6.59234560451
American Dark Wheat Ale,3.4996596324,3.5,0.577301005394,5.0,3.67154526889,4.0,0.525099310861,5.0,3.58560245065,3.75,0.459106310989,5.0,1469,5.69584589615
Dortmunder / Export Lager,3.46496958774,3.5,0.656595952551,5.0,3.68675377337,4.0,0.627085276929,5.0,3.57586168056,3.75,0.568586967793,5.0,4439,5.46544187146
Bock,3.44668112798,3.5,0.643026941461,5.0,3.69184381779,4.0,0.573958568143,5.0,3.56926247289,3.75,0.525307444649,5.0,11525,5.89689841532
Munich Dunkel Lager,3.45112118922,3.5,0.602589329176,5.0,3.68487024439,4.0,0.543896797554,5.0,3.56799571681,3.5,0.489927756392,5.0,7938,5.1151843668
Vienna Lager,3.43442073511,3.5,0.615943203824,5.0,3.69846944475,4.0,0.561936896932,5.0,3.56644508993,3.5,0.514406343606,5.0,8951,5.02038027831
English Pale Ale,3.42117984257,3.5,0.614200018282,5.0,3.69607717317,4.0,0.556575867544,5.0,3.55862850787,3.5,0.488740589524,5.0,23376,5.01787263882
Munich Helles Lager,3.46923859159,3.5,0.606720953301,5.0,3.61891445278,3.5,0.584680859337,5.0,3.54407652218,3.5,0.517050245883,5.0,7867,5.00138083736
Czech Pilsener,3.44438338959,3.5,0.636979055236,5.0,3.64118062642,3.5,0.594654621315,5.0,3.54278200801,3.5,0.533797206049,5.0,12739,4.97883976064
Kristalweizen,3.44588449295,3.5,0.69052480163,5.0,3.63346975898,4.0,0.699693363795,5.0,3.53967712597,3.5,0.626184290434,5.0,2199,5.12546055739
Fruit / Vegetable Beer,3.52559142326,3.5,0.792320095236,5.0,3.51801588942,3.5,0.683823843078,5.0,3.52180365634,3.5,0.648062242241,5.0,33859,5.80534033705
German Pilsener,3.38718052922,3.5,0.686395572879,5.0,3.5725864716,3.5,0.643587513938,5.0,3.47988350041,3.5,0.590716664266,5.0,22146,5.0444751302
Kölsch,3.39319985784,3.5,0.598078446708,5.0,3.56219642222,3.5,0.585148630037,5.0,3.47769814003,3.5,0.516233990131,5.0,8441,4.97136375354
American Pale Wheat Ale,3.40423949424,3.5,0.677221627965,5.0,3.54543200694,3.5,0.594353510452,5.0,3.47483575059,3.5,0.545915523848,5.0,24201,5.18823357218
English Pale Mild Ale,3.39270386266,3.5,0.606144267889,5.0,3.54506437768,3.5,0.587391972758,5.0,3.46888412017,3.5,0.523119814594,5.0,699,4.38859567901
Black & Tan,3.27141645462,3.5,0.64045270272,5.0,3.62616624258,3.5,0.580117299315,5.0,3.4487913486,3.5,0.515357715189,5.0,2358,5.37137460173
Euro Dark Lager,3.26841314151,3.5,0.667897849361,5.0,3.59458879107,3.5,0.58310322613,5.0,3.43150096629,3.5,0.530765026917,5.0,4657,5.28407625965
American Blonde Ale,3.31322697265,3.5,0.638003886053,5.0,3.50888085508,3.5,0.598768448621,5.0,3.41105391386,3.5,0.534982156677,5.0,12724,5.03326604315
Kvass,3.33838383838,3.5,0.725366692547,5.0,3.47643097643,3.5,0.600773760187,5.0,3.40740740741,3.5,0.556226134331,5.0,297,2.00698689956
Cream Ale,3.28853639548,3.5,0.65723904931,5.0,3.51294277929,3.5,0.624805097923,5.0,3.40073958739,3.5,0.555929194008,5.0,5138,5.29536637018
American Amber / Red Lager,3.21334192717,3.0,0.649724986667,5.0,3.52760769148,3.5,0.603305678807,5.0,3.37047480932,3.5,0.541160110589,5.0,9309,4.9592019052
Chile Beer,3.30008748906,3.5,0.91478016455,5.0,3.34711286089,3.5,0.849846412918,5.0,3.32360017498,3.5,0.802704474195,5.0,2286,6.32271599045
American Pale Lager,3.05390702275,3.0,0.70288234619,5.0,3.29151555116,3.5,0.665259607365,5.0,3.17271128695,3.25,0.60662054232,5.0,9099,5.0419170551
Euro Strong Lager,2.87243024963,3.0,0.751035400305,5.0,3.22944199706,3.5,0.691642239229,5.0,3.05093612335,3.0,0.631088082432,5.0,2724,8.0306335175
Euro Pale Lager,2.84743126909,3.0,0.694320826042,5.0,3.17014718134,3.0,0.662161874996,5.0,3.00878922522,3.0,0.593641631681,5.0,18005,5.07179098524
Japanese Rice Lager,2.65038809832,2.5,0.633112600169,5.0,2.99644243208,3.0,0.669603772795,5.0,2.8234152652,2.75,0.567195090037,5.0,1546,4.95753424658
Happoshu,2.59543568465,2.5,0.756375621118,4.5,2.92531120332,3.0,0.797536837341,5.0,2.76037344398,2.75,0.700369147873,4.75,241,5.26582278481
Low Alcohol Beer,2.46336386345,2.5,0.841817483183,5.0,2.91756869276,3.0,0.842782742162,5.0,2.6904662781,2.75,0.745957627753,5.0,1201,0.566705882353
American Adjunct Lager,2.48023361749,2.5,0.719734554178,5.0,2.78849157285,3.0,0.737918328222,5.0,2.63436259517,2.75,0.650505578008,5.0,30734,4.86178387709
American Malt Liquor,2.41388535032,2.5,0.850794622938,5.0,2.8378343949,3.0,0.807636146319,5.0,2.62585987261,2.75,0.74340032455,5.0,3925,7.37117754569
Light Lager,2.17004473022,2.0,0.784040018785,5.0,2.42941012021,2.5,0.841421054708,5.0,2.29972742522,2.25,0.745099736208,5.0,14308,4.03108462815
