beer_beerid,brewery_id,brewery_name,beer_style,beer_name,beer_abv
68803,3835,Drake's Brewing Co.,American Wild Ale,Drake's Chardi's Trippel,10.0
68807,3835,Drake's Brewing Co.,American Wild Ale,Drake's Simian Sour,9.0
68808,3835,Drake's Brewing Co.,American Barleywine,Drake's Brandy Witches,10.0
68809,3835,Drake's Brewing Co.,American Black Ale,Drake's Batch 3000,5.5
68860,3835,Drake's Brewing Co.,American Porter,Drake's Black Robusto Porter,7.0
70909,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's How Merlot Can You Go?,7.75
70921,3835,Drake's Brewing Co.,American Double / Imperial Stout,"Drake's Drew ""Berry""more",8.75
71436,3835,Drake's Brewing Co.,American Wild Ale,Drake's Dark Duck,8.0
72734,3835,Drake's Brewing Co.,American Barleywine,Drake's Urban Bourbon,10.0
74112,3835,Drake's Brewing Co.,American Double / Imperial Stout,Portly Imp,8.75
74647,3835,Drake's Brewing Co.,Irish Dry Stout,Drake's Dry Stout,6.5
74673,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's Midnight Run,8.75
74674,3835,Drake's Brewing Co.,American Barleywine,Drake's Smooth Operator – Stygian Barleywine,9.75
75182,3835,Drake's Brewing Co.,American Stout,Coffin Varnish Stout,7.0
75202,3835,Drake's Brewing Co.,American Black Ale,Drake's Jolly Rodger 2011,8.75
75203,3835,Drake's Brewing Co.,American Double / Imperial Stout,Sip Sip Hooray,8.75
75275,3835,Drake's Brewing Co.,American Blonde Ale,Brette Davis Eyes,6.0
75909,3835,Drake's Brewing Co.,English Brown Ale,C.S. Brown,4.5
75910,3835,Drake's Brewing Co.,Saison / Farmhouse Ale,Pink Boots Saison,6.0
75911,3835,Drake's Brewing Co.,American Wild Ale,Sir Francis Dre's IPA,8.0
75912,3835,Drake's Brewing Co.,American Strong Ale,Total Recall,8.0
12132,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Pale Ale,Alvinne Blond,6.0
24170,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Dark Ale,Alvinne Bruin,6.5
24171,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Dark Ale,Balthazar,9.0
25594,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Alvinne Blond Extra,7.1
26929,6288,Picobrouwerij Alvinne / Den Bierzolder,Tripel,Alvinne Tripel,8.7
27188,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Melchior,11.0
28242,6288,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,Podge Belgian Imperial Stout,10.5
32021,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Halleschelle,8.5
32391,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Hik Bier Blond,7.0
37540,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian IPA,Gaspar Ale,8.0
40983,6288,Picobrouwerij Alvinne / Den Bierzolder,Flanders Oud Bruin,Oud Bruin,5.2
42318,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian IPA,Alvinne Extra Restyled,7.0
42460,6288,Picobrouwerij Alvinne / Den Bierzolder,Saison / Farmhouse Ale,'n Maurootje Lauwse Saison,6.0
48377,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Melchior Oak Aged Calvados Barrel,11.5
48401,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Melchior Oak Aged Bourgogne Barrel,11.0
48403,6288,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,Podge Oak Aged Bourgogne Barrel (The Oak Podge),10.5
48404,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Pipedream,7.8
48956,6288,Picobrouwerij Alvinne / Den Bierzolder,Herbed / Spiced Beer,Festina Lente,7.0
48999,6288,Picobrouwerij Alvinne / Den Bierzolder,American Wild Ale,Kerasus,5.5
51514,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Dark Ale,Balthazar Oak Aged,9.0
51805,6288,Picobrouwerij Alvinne / Den Bierzolder,Saison / Farmhouse Ale,Alvino Oak Aged Bourgogne Barrel,5.5
53454,6288,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,Alvinne Mano Negra,10.0
54963,6288,Picobrouwerij Alvinne / Den Bierzolder,Smoked Beer,Caper Fumatis,6.3
55185,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Dark Ale,De Eycken Balthazar,9.0
55248,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Pale Ale,Bintjesbier,6.3
55282,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Pale Ale,Lex'ke,6.3
57187,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Dertig (30),8.0
57950,6288,Picobrouwerij Alvinne / Den Bierzolder,Smoked Beer,Alvinne Chelmsford Oak Smoked Porter,5.1
59124,6288,Picobrouwerij Alvinne / Den Bierzolder,Fruit / Vegetable Beer,Alvinne Oak Aged Kerasus,6.5
59952,6288,Picobrouwerij Alvinne / Den Bierzolder,Flanders Oud Bruin,Morpheus Wild,5.9
60084,6288,Picobrouwerij Alvinne / Den Bierzolder,Flanders Oud Bruin,Cuvee Freddy,8.0
60091,6288,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,Podge Oak Aged Glenrothes Barrel,10.5
60093,6288,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,Alvinne Mano Negra Oak Aged Glenrothes Barrel,10.0
60191,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Melchior Bourbon Barrel Aged,11.5
61380,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Dark Ale,Bolleville Calvados,10.0
61733,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,The Oak Melochior,11.0
62624,6288,Picobrouwerij Alvinne / Den Bierzolder,American IPA,Alvinne Hop Trilogy Centennial,7.1
62625,6288,Picobrouwerij Alvinne / Den Bierzolder,American IPA,Alvinne Hop Trilogy Columbus,7.1
62626,6288,Picobrouwerij Alvinne / Den Bierzolder,American IPA,Alvinne Hop Trilogy Simcoe,7.1
63808,6288,Picobrouwerij Alvinne / Den Bierzolder,English Bitter,Alvinne Freaky,3.8
64220,6288,Picobrouwerij Alvinne / Den Bierzolder,American Wild Ale,Wild Undressed,5.2
64247,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Pale Ale,Morpheus Extra R.A.,7.1
64419,6288,Picobrouwerij Alvinne / Den Bierzolder,English Bitter,Alvinnes Naked Ladies,4.4
64421,6288,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,Alvinne Mano Negra Oak Aged Bladnoch Barrel,10.0
64572,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,Melchior Mackmyra Barrel Oak Aged,11.0
66035,6288,Picobrouwerij Alvinne / Den Bierzolder,Russian Imperial Stout,Morpheus Dark,10.2
68576,6288,Picobrouwerij Alvinne / Den Bierzolder,English Barleywine,Night Owl (with Birdsong Brewery),14.7
68683,6288,Picobrouwerij Alvinne / Den Bierzolder,English Brown Ale,Alvinne Freaky Dark,3.8
68880,6288,Picobrouwerij Alvinne / Den Bierzolder,Tripel,Morpheus Tripel,8.7
69422,6288,Picobrouwerij Alvinne / Den Bierzolder,Witbier,Alvinne/Urthel Witte Roock,6.0
71056,6288,Picobrouwerij Alvinne / Den Bierzolder,Quadrupel (Quad),Cuvee D'Erpigny,15.0
71084,6288,Picobrouwerij Alvinne / Den Bierzolder,American IPA,Alvinne Vuur & Vlam,6.3
71678,6288,Picobrouwerij Alvinne / Den Bierzolder,Belgian Strong Pale Ale,"Melchior ""The Oak Melchior""",11.0
73089,6288,Picobrouwerij Alvinne / Den Bierzolder,American Wild Ale,Morepheus Undressed Wild With Boskoop Grapes,5.2
73625,6288,Picobrouwerij Alvinne / Den Bierzolder,American Double / Imperial Stout,Beer GeeK Wedding,13.0
21771,10796,Flying Monkeys Craft Brewery,American Amber / Red Ale,Robert Simpson Confederation Ale,5.0
37350,10796,Flying Monkeys Craft Brewery,American Pale Lager,Robert Simpson Sugarbush Lager,4.5
44024,10796,Flying Monkeys Craft Brewery,Light Lager,Robert Simpson AntiGravity Light Ale,4.0
45423,10796,Flying Monkeys Craft Brewery,American Pale Ale (APA),Pale Ale,6.0
49983,10796,Flying Monkeys Craft Brewery,American Pale Ale (APA),Flying Monkeys Hoptical Illusion,5.2
53832,10796,Flying Monkeys Craft Brewery,American Black Ale,Flying Monkeys Netherworld Cascadian Dark Ale,6.2
58770,10796,Flying Monkeys Craft Brewery,American IPA,Flying Monkeys Smash Bomb Atomic IPA,6.0
62135,10796,Flying Monkeys Craft Brewery,American IPA,Flying Monkeys Smashjezebelhoneybomb,6.0
63783,10796,Flying Monkeys Craft Brewery,American Double / Imperial Stout,Flying Monkeys Adils Bad Ass Chaos Theory Imperial Wheat Stout,9.0
63784,10796,Flying Monkeys Craft Brewery,American Blonde Ale,Flying Monkeys Sidewalk Paint,4.0
64377,10796,Flying Monkeys Craft Brewery,American Porter,Flying Monkeys 38 (Birthday Cake Beer),4.2
68187,10796,Flying Monkeys Craft Brewery,American Barleywine,Flying Monkeys Riley Wine,18.0
68846,10796,Flying Monkeys Craft Brewery,Baltic Porter,Flying Monkeys Waffleface Maple Imperial Baltic Porter,14.5
70320,10796,Flying Monkeys Craft Brewery,Saison / Farmhouse Ale,Flying Monkeys Manifest Destiny (Black Saison),9.0
70321,10796,Flying Monkeys Craft Brewery,American Double / Imperial IPA,Flying Monkeys Alpha Fornication,13.3
70322,10796,Flying Monkeys Craft Brewery,Saison / Farmhouse Ale,Flying Monkeys Blanche Épicée (White Saison),9.2
70323,10796,Flying Monkeys Craft Brewery,American Black Ale,Flying Monkeys Super Collider Black IPA,12.0
70324,10796,Flying Monkeys Craft Brewery,American Double / Imperial IPA,Flying Monkeys Quint,18.0
70325,10796,Flying Monkeys Craft Brewery,Saison / Farmhouse Ale,Flying Monkeys Sailor’s Warning,5.5
70326,10796,Flying Monkeys Craft Brewery,Munich Dunkel Lager,Flying Monkeys Slam Dunkel,9.2
70399,10796,Flying Monkeys Craft Brewery,American Double / Imperial Stout,Flying Monkeys Big Nib,8.0
70419,10796,Flying Monkeys Craft Brewery,American Double / Imperial IPA,Flying Monkeys Serendipity,14.0
70608,10796,Flying Monkeys Craft Brewery,Cream Ale,Flying Monkeys Bubble Scream Ale,5.0
70624,10796,Flying Monkeys Craft Brewery,Fruit / Vegetable Beer,Flying Monkeys Orangemungeous,5.0
70658,10796,Flying Monkeys Craft Brewery,Saison / Farmhouse Ale,Flying Monkeys White Saison,7.5
72171,10796,Flying Monkeys Craft Brewery,American Double / Imperial IPA,Flying Monkeys Super Collider Double IPA,12.4
73499,10796,Flying Monkeys Craft Brewery,English Porter,Flying Monkeys Vanilla Porter,5.0
22516,11031,Brouwerij De Molen,Doppelbock,Kruier,7.1
24429,11031,Brouwerij De Molen,Belgian Dark Ale,Oud Hollands Tuig,5.2
24462,11031,Brouwerij De Molen,Belgian Strong Dark Ale,Jacobs Ladder,7.2
24474,11031,Brouwerij De Molen,Belgian Strong Dark Ale,Olivier's Molenbier,9.2
24973,11031,Brouwerij De Molen,Belgian Pale Ale,Borefts Blond,6.5
26349,11031,Brouwerij De Molen,Bock,Borefts Bok,7.2
28111,11031,Brouwerij De Molen,Belgian Strong Pale Ale,Tik,9.5
30295,11031,Brouwerij De Molen,Belgian Pale Ale,Oude Rijn,6.1
30297,11031,Brouwerij De Molen,Foreign / Export Stout,Borefts Stout,7.0
30539,11031,Brouwerij De Molen,Tripel,Borefts Tripel,9.5
32451,11031,Brouwerij De Molen,English Bitter,Engels,4.5
34099,11031,Brouwerij De Molen,California Common / Steam Beer,Borefts Stoombier,5.4
35332,11031,Brouwerij De Molen,Extra Special / Strong Bitter (ESB),Woerdens Kanon,7.7
36696,11031,Brouwerij De Molen,Maibock / Helles Bock,Lentebok,6.5
40663,11031,Brouwerij De Molen,Doppelbock,Winterbok (Winterbock),8.2
40667,11031,Brouwerij De Molen,American Barleywine,Amarillo's Winterwarmer (for PINT),9.2
40734,11031,Brouwerij De Molen,Belgian Strong Dark Ale,Tien,10.0
40959,11031,Brouwerij De Molen,Baltic Porter,Tsarina Esra Imperial Porter,11.0
41867,11031,Brouwerij De Molen,Russian Imperial Stout,Disputin - Russian Imperial Stout,11.0
42317,11031,Brouwerij De Molen,Maibock / Helles Bock,Jong En Onbedorven,7.2
42445,11031,Brouwerij De Molen,Foreign / Export Stout,Pek & Veren,8.0
42935,11031,Brouwerij De Molen,California Common / Steam Beer,Stoombier Gedrooghopt Met Safir,5.7
43289,11031,Brouwerij De Molen,American Amber / Red Ale,Amerikaans Gedrooghopt Met Amarillo,4.5
43346,11031,Brouwerij De Molen,Foreign / Export Stout,SSS,9.99
43421,11031,Brouwerij De Molen,English Porter,Hamer & Sikkel,5.2
43430,11031,Brouwerij De Molen,Dubbel,Donder & Bliksem,8.2
43432,11031,Brouwerij De Molen,American Double / Imperial IPA,Storm & Averij,9.2
43544,11031,Brouwerij De Molen,English Porter,1914 Porter,5.8
44895,11031,Brouwerij De Molen,Tripel,Heen & Weer,9.5
44903,11031,Brouwerij De Molen,Irish Red Ale,Ruig & Rood,9.5
45342,11031,Brouwerij De Molen,Bock,Borefts Turf Bock 2008,7.7
45860,11031,Brouwerij De Molen,English Barleywine,Bommen & Granaten,15.2
46409,11031,Brouwerij De Molen,California Common / Steam Beer,Ceruesia,5.6
46426,11031,Brouwerij De Molen,Smoked Beer,"Bloed, Zweet & Tranen",8.1
46596,11031,Brouwerij De Molen,American Double / Imperial IPA,Amarillo,9.2
47437,11031,Brouwerij De Molen,Russian Imperial Stout,Hel & Verdoemenis,10.2
47641,11031,Brouwerij De Molen,Lambic - Fruit,Morellen Lambiek,6.2
48093,11031,Brouwerij De Molen,Tripel,Lusten & Lasten,9.2
48357,11031,Brouwerij De Molen,Flanders Oud Bruin,Vlaams Hollands,5.6
50303,11031,Brouwerij De Molen,Russian Imperial Stout,Eiken Hel & Verdoemenis,11.0
52132,11031,Brouwerij De Molen,Russian Imperial Stout,Hemel & Aarde,9.5
52423,11031,Brouwerij De Molen,American Double / Imperial Stout,Heaven & Hell,10.2
52613,11031,Brouwerij De Molen,English Barleywine,Lang & Kaal,16.0
53172,11031,Brouwerij De Molen,American IPA,Vuur & Vlam,6.2
53175,11031,Brouwerij De Molen,American Double / Imperial IPA,Heil & Zegen,10.8
53376,11031,Brouwerij De Molen,Bock,Borefts Bok 2009,7.2
53844,11031,Brouwerij De Molen,American Double / Imperial Stout,Kopi Loewak,9.5
53869,11031,Brouwerij De Molen,Eisbock,De Molen IJsbock Woodchips In 40 Yrs Old Cognac,16.4
53873,11031,Brouwerij De Molen,Eisbock,De Molen IJsbock Simcoe Dry Hopped,16.4
54961,11031,Brouwerij De Molen,Russian Imperial Stout,Tsarina Esra Reserva,11.0
55164,11031,Brouwerij De Molen,Saison / Farmhouse Ale,Ton Sur Ton Saison,10.5
55184,11031,Brouwerij De Molen,Belgian IPA,Kannen & Kruiken,6.2
55197,11031,Brouwerij De Molen,Russian Imperial Stout,Mout & Mocca,9.5
55514,11031,Brouwerij De Molen,Eisbock,De Molen IJsbock,16.4
55555,11031,Brouwerij De Molen,Russian Imperial Stout,Hemel & Aarde Bruichladdich Barrel,10.0
55670,11031,Brouwerij De Molen,American Strong Ale,Lood & Oud IJzer,10.4
55740,11031,Brouwerij De Molen,American IPA,De Molen Wikken & Wegen,6.2
55885,11031,Brouwerij De Molen,Russian Imperial Stout,Steen & Been (Stone & Bone),11.5
56371,11031,Brouwerij De Molen,Lambic - Fruit,De Molen T 'Ooievaartje,5.2
56700,11031,Brouwerij De Molen,Russian Imperial Stout,Hel & Verdoemenis 666,10.0
57016,11031,Brouwerij De Molen,Doppelbock,Revelation Cat Triple Hop Bock,9.2
57357,11031,Brouwerij De Molen,Rauchbier,Rook & Vuur,8.2
57575,11031,Brouwerij De Molen,Weizenbock,Mikkel & Menno,7.2
57892,11031,Brouwerij De Molen,English India Pale Ale (IPA),Premiant Hopburst,6.2
57982,11031,Brouwerij De Molen,Russian Imperial Stout,Black Jack,12.5
58376,11031,Brouwerij De Molen,English Bitter,Beaches & Peaches,3.5
58674,11031,Brouwerij De Molen,Russian Imperial Stout,Ziel & Zaligheid,11.0
58957,11031,Brouwerij De Molen,American IPA,Lente Hop,6.2
59368,11031,Brouwerij De Molen,American Double / Imperial Pilsner,Saaz Hopburst,6.2
59485,11031,Brouwerij De Molen,American Double / Imperial Stout,Cuvée 2,11.5
59635,11031,Brouwerij De Molen,Russian Imperial Stout,Black Isak,11.2
59929,11031,Brouwerij De Molen,Russian Imperial Stout,Hel & Verdoemenis Misto B.A.,12.0
60040,11031,Brouwerij De Molen,Russian Imperial Stout,Bont & Blauw,11.0
60117,11031,Brouwerij De Molen,American Black Ale,Stout & Hop,9.2
60235,11031,Brouwerij De Molen,Belgian Strong Dark Ale,Mooi & Meedogenloos,10.2
60746,11031,Brouwerij De Molen,Lambic - Fruit,Fris & Frutig Morellen Lambik,5.6
61611,11031,Brouwerij De Molen,Scottish Gruit / Ancient Herbed Ale,Menno & Jens,7.5
61712,11031,Brouwerij De Molen,Russian Imperial Stout,Black Damnation Molen's Steam Edition,13.0
61977,11031,Brouwerij De Molen,English India Pale Ale (IPA),Op & Top,4.5
62071,11031,Brouwerij De Molen,American Blonde Ale,Blond Met Een Pond,6.2
62235,11031,Brouwerij De Molen,Czech Pilsener,Donder & Bliksem Original Version,5.9
62379,11031,Brouwerij De Molen,Russian Imperial Stout,Black Damnation Molen's 666 Edition,13.0
62575,11031,Brouwerij De Molen,Russian Imperial Stout,Hel & Verdoemenis Bordeaux B.A.,13.0
62585,11031,Brouwerij De Molen,Bock,Borefts Bock 2010,6.2
63161,11031,Brouwerij De Molen,English Porter,Juleøl & Kerstbier,8.5
63171,11031,Brouwerij De Molen,American IPA,Zomer Hop,6.2
64636,11031,Brouwerij De Molen,American IPA,Sladek Hopburst,6.2
64681,11031,Brouwerij De Molen,Russian Imperial Stout,Bat Out Of Hell,9.18
64684,11031,Brouwerij De Molen,Russian Imperial Stout,Bat Out Of Hell Oak Aged Version,9.18
66079,11031,Brouwerij De Molen,Russian Imperial Stout,Gajes & Geteisem,11.0
66371,11031,Brouwerij De Molen,Russian Imperial Stout,List & Bedrog Oak Aged,11.9
66685,11031,Brouwerij De Molen,Russian Imperial Stout,Hel & Verdoemenis Wild Turkey B.A.,10.2
67531,11031,Brouwerij De Molen,Keller Bier / Zwickel Bier,Borefts Pilz,5.2
67981,11031,Brouwerij De Molen,Smoked Beer,Freya & Thor,8.9
68327,11031,Brouwerij De Molen,American Porter,Wilde Porter,6.2
68460,11031,Brouwerij De Molen,American Barleywine,Weer & Wind Bourbon B.A.,16.2
69699,11031,Brouwerij De Molen,English Barleywine,De Molen Mooi & Machtig (Cognac B.A.),17.4
69730,11031,Brouwerij De Molen,American Barleywine,De Molen Bommen & Granaten Cascade Dry Hopped,15.2
70313,11031,Brouwerij De Molen,Russian Imperial Stout,Mout & Mocca 2,10.0
71423,11031,Brouwerij De Molen,American Double / Imperial IPA,Dubbel And Dwars,8.2
71760,11031,Brouwerij De Molen,Russian Imperial Stout,De Molen Hot & Spicy,10.2
71964,11031,Brouwerij De Molen,Smoked Beer,De Molen Geboren & Getogen,4.0
72709,11031,Brouwerij De Molen,American Strong Ale,Cuvée,12.7
72870,11031,Brouwerij De Molen,Hefeweizen,Rijn & Veen,5.1
72871,11031,Brouwerij De Molen,Doppelbock,Arkbock,10.8
73136,11031,Brouwerij De Molen,American Black Ale,V Years - 20K,7.2
73404,11031,Brouwerij De Molen,Vienna Lager,Fresh-hopped Bohemian,6.2
73453,11031,Brouwerij De Molen,American Double / Imperial Stout,Eer & Geweten (Honor & Conscience),11.0
73525,11031,Brouwerij De Molen,American Double / Imperial IPA,Amarillo Upgreyde,9.2
73527,11031,Brouwerij De Molen,Bock,Bock 2011,6.2
73528,11031,Brouwerij De Molen,American Black Ale,Festival Smoked Black IPA,8.8
73668,11031,Brouwerij De Molen,Smoked Beer,Hart & Ziel,11.1
73705,11031,Brouwerij De Molen,Russian Imperial Stout,Hel & Verdoemenis MacAllan BA,11.0
73706,11031,Brouwerij De Molen,Russian Imperial Stout,Rasputin Bruichladdich BA,11.4
74887,11031,Brouwerij De Molen,American Double / Imperial Stout,Stout & Hop (Sorachi Ace),7.5
75365,11031,Brouwerij De Molen,American Amber / Red Ale,Bed And Breakfast,4.4
76333,11031,Brouwerij De Molen,Russian Imperial Stout,Tsarina Esra Imperial Porter Cognac,12.0
76706,11031,Brouwerij De Molen,Fruit / Vegetable Beer,De Molen KersBier Mummia Barrel,4.5
77214,11031,Brouwerij De Molen,Russian Imperial Stout,Nacht & Ontij,13.0
28793,13307,Mikkeller ApS,American IPA,Simcoe Single Hop IPA,6.9
28877,13307,Mikkeller ApS,American Double / Imperial Stout,Beer Geek Breakfast,7.5
29007,13307,Mikkeller ApS,American Barleywine,Big Bad,11.0
29688,13307,Mikkeller ApS,American IPA,Cascade Single Hop IPA,6.8
33669,13307,Mikkeller ApS,Smoked Beer,ComOn Rauch,6.3
33670,13307,Mikkeller ApS,American IPA,Stateside IPA,7.0
33928,13307,Mikkeller ApS,American Brown Ale,Jackie Brown,5.9
33929,13307,Mikkeller ApS,Russian Imperial Stout,Black Hole,13.1
33930,13307,Mikkeller ApS,American IPA,Centennial Single Hop IPA,6.8
34359,13307,Mikkeller ApS,American Pale Ale (APA),Ping Pang Pale,6.5
34731,13307,Mikkeller ApS,Belgian Strong Dark Ale,Santa's Little Helper 2006,10.0
36139,13307,Mikkeller ApS,Russian Imperial Stout,X Imperial Stout 2006,16.0
36314,13307,Mikkeller ApS,American Double / Imperial IPA,X Big Tony 2006,15.0
37866,13307,Mikkeller ApS,American Strong Ale,HumlefrXXXd,9.0
39720,13307,Mikkeller ApS,Baltic Porter,Til Fra (To From),8.0
39775,13307,Mikkeller ApS,American Barleywine,Big Worse,12.0
40849,13307,Mikkeller ApS,Belgian Strong Dark Ale,Santa's Little Helper 2007,11.0
41007,13307,Mikkeller ApS,American Double / Imperial Pilsner,Draft Bear,8.0
41009,13307,Mikkeller ApS,American Pale Ale (APA),All Others Pale,6.0
41730,13307,Mikkeller ApS,American IPA,Green Gold,7.0
41731,13307,Mikkeller ApS,American Double / Imperial Stout,X Imperial Stout 2007,15.0
41732,13307,Mikkeller ApS,Fruit / Vegetable Beer,X Raspberry Brown 2007,11.0
41733,13307,Mikkeller ApS,American Pale Ale (APA),X Hop Juice 2007 IBU,5.0
41734,13307,Mikkeller ApS,Quadrupel (Quad),Monk's Elixir (Monk's Brew),10.0
41735,13307,Mikkeller ApS,Lambic - Fruit,X Vesterbronx Kriek 2007,5.5
43080,13307,Mikkeller ApS,Belgian Strong Pale Ale,It's Alive!,8.0
45259,13307,Mikkeller ApS,American Double / Imperial Stout,Beer Geek Brunch One-for-One,10.0
45770,13307,Mikkeller ApS,Witbier,Not Just Another Wit,7.4
45993,13307,Mikkeller ApS,Baltic Porter,Fra Til (From To),8.0
46018,13307,Mikkeller ApS,Belgian Strong Dark Ale,Santa's Little Helper 2008,11.0
46987,13307,Mikkeller ApS,American Double / Imperial Stout,Beer Geek Brunch Weasel,10.9
47562,13307,Mikkeller ApS,Belgian Pale Ale,It's Alright!,4.5
47913,13307,Mikkeller ApS,Czech Pilsener,Czech-Style Pilsner (Czechet),4.6
47914,13307,Mikkeller ApS,American Pale Ale (APA),Vibskov Emenius Mikkeller,6.0
47917,13307,Mikkeller ApS,American Double / Imperial Stout,Xbeeriment Mikkeller Brewers United Belgian Stout,11.1
47919,13307,Mikkeller ApS,American IPA,Warrior Single Hop IPA,6.9
48238,13307,Mikkeller ApS,Belgian Strong Pale Ale,USAlive! (Alive),8.0
48458,13307,Mikkeller ApS,American IPA,Nelson Sauvin Single Hop IPA,6.9
49143,13307,Mikkeller ApS,American Double / Imperial IPA,Drikkeriget DIPA,10.1
49238,13307,Mikkeller ApS,American Double / Imperial Stout,Sherry Barrel Aged Black As Hell,11.5
49632,13307,Mikkeller ApS,American Double / Imperial Stout,Barrel Aged Black As Coal,12.3
49650,13307,Mikkeller ApS,American IPA,Nugget Single Hop IPA,6.9
50378,13307,Mikkeller ApS,Extra Special / Strong Bitter (ESB),Viking's Return,4.5
50476,13307,Mikkeller ApS,Belgian Strong Pale Ale,Funky E Star,9.39
51112,13307,Mikkeller ApS,Rauchbier,Barrel Aged Smoke A Ciggy,11.5
51115,13307,Mikkeller ApS,American Strong Ale,Stella 0 (Festival Edition 2009),10.0
51578,13307,Mikkeller ApS,American Pale Ale (APA),X Pale Ale,5.9
51616,13307,Mikkeller ApS,American Pale Wheat Ale,Drink'in The Sun,3.9
52654,13307,Mikkeller ApS,American Double / Imperial Stout,Beer Geek Brunch Weasel (Islay Edition),10.9
52885,13307,Mikkeller ApS,Russian Imperial Stout,Whisky Barrel Black As The Night,13.0
53522,13307,Mikkeller ApS,American Double / Imperial Stout,Beer Geek Brunch Weasel (Highland Edition),10.9
54211,13307,Mikkeller ApS,American Double / Imperial IPA,I Beat YoU,9.75
54282,13307,Mikkeller ApS,Belgian Strong Dark Ale,Santa's Little Helper 2009,10.9
55048,13307,Mikkeller ApS,Herbed / Spiced Beer,Red/White Christmas,8.0
55258,13307,Mikkeller ApS,American Pale Lager,Danish Dream,4.6
55288,13307,Mikkeller ApS,American IPA,Amarillo Single Hop IPA,6.8
